model,account.change.lock.date,transient,True
no,field,type1,relation1,string1,type2,relation2,string2,required,source
1,fiscalyear_lock_date,,,,date,,Lock Date for All Users,False,version 2
2,create_uid,,,,many2one,res.users,Created by,False,version 2
3,display_name,,,,char,,Display Name,False,version 2
4,tax_lock_date,,,,date,,Tax Lock Date,False,version 2
5,__last_update,,,,datetime,,Last Modified on,False,version 2
6,write_uid,,,,many2one,res.users,Last Updated by,False,version 2
7,write_date,,,,datetime,,Last Updated on,False,version 2
8,create_date,,,,datetime,,Created on,False,version 2
9,id,,,,integer,,ID,False,version 2
10,period_lock_date,,,,date,,Lock Date for Non-Advisers,False,version 2
,,,,
,,,,
